,cons_growth,exp_cons_growth,filtered_state
1948-03-31,0.0,0.003733800343039152,0.0
1948-06-30,0.011573760835321245,0.004679975292315206,0.09461749492760542
1948-09-30,-0.0005465533647246446,0.004099871271030233,0.03660709279910807
1948-12-31,0.013395277176538656,0.005005654627160561,0.12718542841214092
1949-03-31,0.008096302922815823,0.0052634853323390365,0.15296849892998848
1949-06-30,0.006356250435485933,0.005329731790703132,0.159593144766398
1949-09-30,-0.0028276662941237873,0.004658852589628391,0.09250522465892387
1949-12-31,0.008861552165414288,0.00495767686259656,0.12238765195574082
1950-03-31,0.013041803443541333,0.005513787986267378,0.17799876432282258
1950-06-30,0.016599539602220048,0.006242655921041043,0.25088555780018906
1950-09-30,0.009929956782356975,0.0064440656417967266,0.2710265298757574
1950-12-31,-0.005337050723230874,0.005645085940678831,0.19112855976396786
1951-03-31,0.02021610741607205,0.006519952408781973,0.2786152065742821
1951-06-30,-0.000820696356996109,0.0060272473780956515,0.22934470350564992
1951-09-30,0.017883199815694084,0.006694449600924278,0.29606492578851257
1951-12-31,0.004844511435449839,0.006536774724351634,0.2802974381312482
1952-03-31,0.005427689585268958,0.006426053494047679,0.2692253151008527
1952-06-30,0.01965565113292289,0.007131645816191325,0.3397845473152173
1952-09-30,0.014553720761692368,0.007490891808812864,0.37570914657737126
1952-12-31,0.011517751341179938,0.007651430657071797,0.3917630314032645
1953-03-31,0.004086028183380108,0.00738981194807802,0.3656011605038868
1953-06-30,0.009972792882688708,0.007469523455605375,0.37357231125662227
1953-09-30,0.0010746717659415594,0.007060511993823377,0.3326711650784225
1953-12-31,-0.004130933260418246,0.006402059207407963,0.2668258864368811
1954-03-31,0.006516164889670328,0.006363509169448644,0.26297088264094926
1954-06-30,0.0062410353223230075,0.006312957423561647,0.2579157080522495
1954-09-30,0.01485860831918906,0.006723852160865975,0.29900518178268226
1954-12-31,0.012551467184616527,0.006982401017586616,0.32486006745474644
1955-03-31,0.00977923916366219,0.007075693315801686,0.3341892972762534
1955-06-30,0.009183901322383115,0.007130781027505079,0.33969806844659267
1955-09-30,0.006846113369506135,0.007058960209968107,0.33251598669289545
